rank,player_name,team,position,games,win_pct_disp,td_int_disp,passing_tds,passer_rating,rushing_tds,total_tds,pass_ypg,rushing_yards,rush_ypg,total_yards,prob_disp,headshot_url,headshot_url,team_logo_url
15,Caleb Williams,CHI,QB,12.0,75%,3.4,17,88.2,3,21.0,226.8,306,25.5,3050,1%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/h4qs11kutwiw7whekmyt","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/h4qs11kutwiw7whekmyt",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/CHI.png
16,Christian McCaffrey,SF,RB,13.0,69%,0.0,0,0.0,8,13.0,0.0,849,65.3,1655,0%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/resjdwihunsqckohcorj","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/resjdwihunsqckohcorj",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/SF.png
17,Jared Goff,DET,QB,12.0,58%,5.0,25,110.2,0,25.0,252.1,46,3.8,3071,0%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yggfwr4ak4po9byj0qor","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yggfwr4ak4po9byj0qor",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/DET.png
18,De'Von Achane,MIA,RB,12.0,42%,0.0,0,0.0,6,10.0,0.0,1034,86.2,1404,0%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xk1xwio0bryfxo1ylweu","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xk1xwio0bryfxo1ylweu",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/MIA.png
19,C.J. Stroud,HOU,QB,9.0,58%,1.83,11,91.1,0,11.0,219.8,189,21.0,2167,0%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tt4zrtxlhifaljhj0rn7","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tt4zrtxlhifaljhj0rn7",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/HOU.png
20,Kyren Williams,LA,RB,12.0,75%,0.0,0,0.0,7,10.0,0.0,868,72.3,1052,0%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/smsyrjrwy0lf0hu9hkvg","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/smsyrjrwy0lf0hu9hkvg",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/LA.png
21,Javonte Williams,DAL,RB,12.0,50%,0.0,0,0.0,8,10.0,0.0,955,79.6,1083,0%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hwzske22c4wrlf27qrih","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hwzske22c4wrlf27qrih",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/DAL.png
22,Derrick Henry,BAL,RB,12.0,50%,0.0,0,0.0,10,10.0,0.0,931,77.6,1073,0%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jxtikemnvpkw9r0ex2wv","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jxtikemnvpkw9r0ex2wv",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/BAL.png
23,Bijan Robinson,ATL,RB,12.0,33%,0.0,0,0.0,5,7.0,0.0,995,82.9,1589,0%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rjaf9auhx3lrktzgwpfb","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rjaf9auhx3lrktzgwpfb",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/ATL.png
24,Josh Jacobs,GB,RB,11.0,67%,0.0,0,0.0,11,11.0,0.0,731,66.5,976,0%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/drtobqw2mk7yw3edjgwo","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/drtobqw2mk7yw3edjgwo",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/GB.png
25,Justin Herbert,LAC,QB,12.0,67%,2.1,21,94.9,1,22.0,236.8,353,29.4,3195,0%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s1oelyaroiaalgilbeqk","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s1oelyaroiaalgilbeqk",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/LAC.png
26,Travis Etienne,JAX,RB,12.0,67%,0.0,0,0.0,5,7.0,0.0,843,70.2,1016,0%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gc0iljgj34piecyfueyd","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gc0iljgj34piecyfueyd",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/JAX.png
