feature,importance_mean,importance_std
fantasy_points,0.179493759016946000000,0.010011048431638700000
win_pct,0.006692099539911320000,0.000738639406407385000
receiving_yards,0.002415644446996410000,0.000533769479737347000
td_int_ratio,0.000803181142828290000,0.000041969419989925200
rushing_epa,0.000360857300765737000,0.000020513728562400700
passing_cpoe,0.000274366391283331000,0.000178642231715293000
passing_epa,0.000181056696406034000,0.000030319279453821900
rush_ypg,0.000165445266686237000,0.000001076650325497010
receiving_epa,0.000123635345712302000,0.000076352188675273300
passing_interceptions,0.000108921124597061000,0.000117725393764535000
rushing_tds,0.000104435081574061000,0.000001076650325497010
pass_ypg,0.000075365522785364400,0.000013234967387997300
receptions,0.000057780234135451600,0.000033931096159711400
passing_tds,0.000044501546787523100,0.000002871067534665480
completions,0.000043783779903849800,0.000008462346754989310
carries,0.000028172350184008100,0.000019739404928332000
targets,0.000000000000000000000,0.000000000000000000000
is_wr,0.000000000000000000000,0.000000000000000000000
is_rb,0.000000000000000000000,0.000000000000000000000
is_qb,0.000000000000000000000,0.000000000000000000000
receiving_tds,0.000000000000000000000,0.000000000000000000000
recv_ypg,0.000000000000000000000,0.000000000000000000000
passing_yards,0.000000000000000000000,0.000000000000000000000
attempts,-0.000000000000000122125,0.000000000000000033307
games,-0.000000000000000144329,0.000000000000000086711
rushing_yards,-0.000007177668836821910,0.000021382948887504300
