season,player_id,player_display_name,position,team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,pacr,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance,fantasy_points,fantasy_points_ppr,games,headshot_url,win_pct,player_name_key,td_int_ratio,is_qb,is_rb,is_wr,pass_ypg,rush_ypg,recv_ypg,win_pct_scaled,games_weighted_win,efficiency_win,mvp_probability,adjusted_pred,team_logo_url,total_yards,total_tds,passer_rating
2025,00-0039851,Drake Maye,QB,NE,321,453,3947,25,8,46,-200,6,3,4100,1539,182,127.25441808426143,152.8878352364404,1,15.666778553905866,95,387,4,2,0,36,2.7781433401762063,1,1,1,2,0,0,0,-8,10,0,-1.3293322010431439,0,0.0,0.022222222222222223,-0.0226628895184136,0.017469310670443813,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,302.78000000000003,303.78000000000003,15.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/oyap81gtzcvnfmripis1",0.8,drake maye,3.125,1,0,0,263.1333333333333,25.8,0.13333333333333333,8.0,12.0,25.0,0.9999569824857208,0.9999569824857208,https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/NE.png,4336.0,29.0,108.5
2025,00-0034857,Josh Allen,QB,BUF,296,425,3406,25,10,35,-247,0,0,3108,1867,167,80.75995999045963,46.65524731706701,1,20.307348959874,105,552,12,5,2,47,34.80124285224919,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,4,0,0,0,3,29,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,341.44,341.44,15.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/servs1fpsynfxep4rz2z",0.7333333333333333,josh allen,2.5,1,0,0,227.06666666666666,36.8,0.0,7.333333333333333,11.0,18.333333333333332,0.9966647378944105,0.9966647378944105,https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/BUF.png,3958.0,37.0,103.3
2025,00-0026498,Matthew Stafford,QB,LA,341,519,4179,40,5,19,-122,2,2,4556,1641,210,137.4118320278013,34.19721971992406,0,14.323218681588465,28,-2,0,3,1,3,-31.574494528846117,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,3,6,0,0,0,1,12,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,310.96000000000004,310.96000000000004,15.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/svxl2pk2cuqf26zrhii4",0.7333333333333333,matthew stafford,8.0,1,0,0,278.6,-0.13333333333333333,0.0,7.333333333333333,11.0,58.666666666666664,0.974345024360564,0.974345024360564,https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/LA.png,4177.0,40.0,112.1
2025,00-0036264,Jordan Love,QB,GB,291,439,3381,23,6,21,-169,2,2,3871,1511,161,110.6112878329032,75.74248692081402,2,16.31058357907942,47,199,0,3,0,16,12.338995846435106,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,235.14,235.14,15.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uneiwen9drvci9ahuebp",0.6,jordan love,3.8333333333333335,1,0,0,225.4,13.266666666666667,0.0,6.0,9.0,23.0,0.8231014127909538,0.8231014127909538,https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/GB.png,3580.0,23.0,101.2
2025,00-0036223,Jonathan Taylor,RB,IND,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,288,1489,17,1,1,81,22.175584044917944,1,41,47,351,2,1,0,-33,407,14,11.052498237128138,0,-14.140656565656563,1.5988534620737067,-0.147744295205799,2.294859186466501,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,15,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,298.0,339.0,15.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uwmnrhwtwug0wrgkomjk",0.5333333333333333,jonathan taylor,0.0,0,1,0,0.0,99.26666666666667,23.4,5.333333333333333,8.0,0.0,0.6228488688291762,0.5294215385047998,https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/IND.png,1840.0,19.0,0.0
2025,00-0037248,James Cook,RB,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,287,1532,12,6,3,66,7.911633978994214,0,32,36,288,2,0,0,22,271,11,11.180617830570554,0,-14.147101449275361,1.2703334487573619,-0.04159805239452548,1.8763815364598748,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,260.0,292.0,15.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/anjbznqb9i21wzcgrtbs",0.7333333333333333,james cook,0.0,0,1,0,0.0,102.13333333333334,19.2,7.333333333333333,11.0,0.0,0.4284304790047755,0.36416590715405917,https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/BUF.png,1820.0,14.0,0.0
2025,00-0039732,Bo Nix,QB,DEN,348,551,3608,24,10,17,-95,2,1,4254,1855,178,66.14206811215296,-9.816819975698401,4,13.724002517614325,66,265,4,2,1,20,-0.1265806921022259,0,0,1,0,0,0,0,2,0,0,-0.4586076693958603,0,0.0,0.027777777777777776,0.006269592476489028,0.04605538140020898,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,23,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,274.82,274.82,15.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/igirshmrr6lqtxcpxsea",0.8,bo nix,2.4,1,0,0,240.53333333333333,17.666666666666668,0.0,8.0,12.0,19.2,0.2039408507681263,0.2039408507681263,https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/DEN.png,3873.0,28.0,89.0
2025,00-0036389,Jalen Hurts,QB,PHI,281,427,3114,24,6,31,-179,3,1,3814,1235,144,39.318279599104216,69.74514639393675,0,13.537766153897127,102,416,8,4,2,42,15.04999118973501,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,292.16,292.16,15.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/c47i9v6gmokkun9cat9s",0.6666666666666666,jalen hurts,4.0,1,0,0,207.6,27.733333333333334,0.0,6.666666666666666,10.0,26.666666666666664,0.09411473154090697,0.09411473154090697,https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/PHI.png,3530.0,32.0,100.2
2025,00-0033280,Christian McCaffrey,RB,SF,0,1,0,0,0,0,0,0,0,14,0,0,-0.770897071401123,0.0,0,0.0,280,1039,9,1,0,66,-21.412719198678175,0,92,116,849,7,1,0,305,668,45,43.09749776005384,0,91.29426517926518,3.529041642667934,1.124021852635794,6.0803777608469565,0,2,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,284.8,376.8,15.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/resjdwihunsqckohcorj",0.7333333333333333,christian mccaffrey,0.0,0,1,0,0.0,69.26666666666667,56.6,7.333333333333333,11.0,0.0,0.08375706764873542,0.0711935075014251,https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/SF.png,1888.0,16.0,0.0
2025,00-0034869,Sam Darnold,QB,SEA,285,424,3703,24,13,22,-147,6,4,3477,1577,161,77.41212571946659,97.99551094627445,2,16.7290905288432,26,84,0,2,1,10,-4.995315502794699,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,220.52,220.52,15.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s5t8m6bhedjwwtfw3ild",0.8,sam darnold,1.8461538461538463,1,0,0,246.86666666666667,5.6,0.0,8.0,12.0,14.76923076923077,0.06414795231279832,0.06414795231279832,https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/SEA.png,3787.0,24.0,100.6
